ProkID	CheckM Bin Id	Seq_Tech	Assembly_Method	Genome_Coverage	Assembly_Level	RGA	Seq_Tech2	Assembler2	Gravity	Category	Sample Type	Health_comments	Sample_Site	Sample_Site_2	Strain	Culture_Media	Reference
GCA_001743305_prok	GCA_001743305.1_ASM174330v1_genomic	Illumina NextSeq	A5 v. 20150522	1758	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Port crew quarters: Surface (05/15/2015)	Port crew quarters (05/15/2015)	IIF8SW-P1-RA 	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743345_prok	GCA_001743345.1_ASM174334v1_genomic	Illumina NextSeq	A5 v. 20150522	1960	Scaffold	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-Port crew quarters: Surface (05/15/2015)	Port crew quarters (05/15/2015)	IIF8SW-P2-RA 	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_001743495_prok	GCA_001743495.1_ASM174349v1_genomic	Illumina NextSeq	A5 v. 20150522	3075	Contig	de-novo	Illumina	A5	Space	BE_ISS	Surface		ISS-PMM port 1: Surface (05/15/2015)	PMM port 1 (05/15/2015)	IIF6SW-P2	Tripticase soy agar contact slides	Checinska Sielaff et al. 2016
GCA_002000565_prok	GCA_002000565.1_ASM200056v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Nose 	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR9	NA	Sabat et al. 2017
GCA_002000585_prok	GCA_002000585.1_ASM200058v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Nose 	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR10	NA	Sabat et al. 2017
GCA_002000605_prok	GCA_002000605.1_ASM200060v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Perineum	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR11	NA	Sabat et al. 2017
GCA_002000625_prok	GCA_002000625.1_ASM200062v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Wound left foot	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR12	NA	Sabat et al. 2017
GCA_002000645_prok	GCA_002000645.1_ASM200064v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Pus left axilla	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR13	NA	Sabat et al. 2017
GCA_002000665_prok	GCA_002000665.1_ASM200066v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Wound secretion	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR14	NA	Sabat et al. 2017
GCA_002000685_prok	GCA_002000685.1_ASM200068v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Nose 	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR15	NA	Sabat et al. 2017
GCA_002000705_prok	GCA_002000705.1_ASM200070v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Perineum	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR16	NA	Sabat et al. 2017
GCA_002000725_prok	GCA_002000725.1_ASM200072v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Throat	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR17	NA	Sabat et al. 2017
GCA_002000745_prok	GCA_002000745.1_ASM200074v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Nose 	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR18	NA	Sabat et al. 2017
GCA_002000765_prok	GCA_002000765.1_ASM200076v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Perineum	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR19	NA	Sabat et al. 2017
GCA_002000785_prok	GCA_002000785.1_ASM200078v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Nose 	MRSA	Suriname: Nickerie	Suriname: Nickerie	USA300-SUR20	NA	Sabat et al. 2017
GCA_002000805_prok	GCA_002000805.1_ASM200080v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Pus 	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR21	NA	Sabat et al. 2017
GCA_002000825_prok	GCA_002000825.1_ASM200082v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Pus axilla	MRSA	Suriname: Nickerie	Suriname: Nickerie	USA300-SUR22	NA	Sabat et al. 2017
GCA_002000845_prok	GCA_002000845.1_ASM200084v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Perineum	MRSA	Suriname: Nickerie	Suriname: Nickerie	USA300-SUR23	NA	Sabat et al. 2017
GCA_002000865_prok	GCA_002000865.1_ASM200086v1_genomic	Illumina	SeqMan NGen v. 12.1.0	NA	Complete Genome		Illumina	SeqMan	Earth	Human	Perineum	MRSA	Suriname: Paramaribo	Suriname: Paramaribo	USA300-SUR24	NA	Sabat et al. 2017
GCA_002209825_prok	GCA_002209825.1_ASM220982v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Vienna	Austria: Vienna	H5	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209835_prok	GCA_002209835.1_ASM220983v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Carinthia	Austria: Carinthia	H4	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209845_prok	GCA_002209845.1_ASM220984v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Vienna	Austria: Vienna	H6	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209895_prok	GCA_002209895.1_ASM220989v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Carinthia	Austria: Carinthia	H2	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209905_prok	GCA_002209905.1_ASM220990v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Vienna	Austria: Vienna	H8	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209945_prok	GCA_002209945.1_ASM220994v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Carinthia	Austria: Carinthia	H3	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002209955_prok	GCA_002209955.1_ASM220995v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Carinthia	Austria: Carinthia	H1	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002210005_prok	GCA_002210005.1_ASM221000v1_genomic	Illumina MiSeq	SPAdes v. 3.9.0	1	Contig		Illumina	Spades	Earth	Human	NA	MRSA	Austria: Vienna	Austria: Vienna	H7	Tripticase soy broth	Lepuschitz et al., 2018
GCA_002260005_prok	GCA_002260005.1_ASM226000v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	76.4	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil	Brazil	UB526	Tripticase soy broth	Arias et al. 2017
GCA_002260065_prok	GCA_002260065.1_ASM226006v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	80.3	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil	Brazil	UB583	Tripticase soy broth	Arias et al. 2017
GCA_002260185_prok	GCA_002260185.1_ASM226018v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	19.7	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG875	Tripticase soy broth	Arias et al. 2017
GCA_002260275_prok	GCA_002260275.1_ASM226027v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	56	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Peru: Lima 	Peru: Lima 	UP109	Tripticase soy broth	Arias et al. 2017
GCA_002260355_prok	GCA_002260355.1_ASM226035v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	81	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG1092	Tripticase soy broth	Arias et al. 2017
GCA_002260385_prok	GCA_002260385.1_ASM226038v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	77.6	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG258	Tripticase soy broth	Arias et al. 2017
GCA_002260435_prok	GCA_002260435.1_ASM226043v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5.1	49	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Venezuela: Caracas	Venezuela: Caracas	UV1026	Tripticase soy broth	Arias et al. 2017
GCA_002267145_prok	GCA_002267145.1_ASM226714v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	122.6	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Peru: Lima	Peru: Lima	 UP81	Tripticase soy broth	Arias et al. 2017
GCA_002267385_prok	GCA_002267385.1_ASM226738v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	139.33	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Venezuela: Caracas	Venezuela: Caracas	UV165	Tripticase soy broth	Arias et al. 2017
GCA_002267495_prok	GCA_002267495.1_ASM226749v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.2	88.89	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG268	Tripticase soy broth	Arias et al. 2017
GCA_002267535_prok	GCA_002267535.1_ASM226753v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	121.04	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Colombia: Bogota	Colombia: Bogota	UC279	Tripticase soy broth	Arias et al. 2017
GCA_002267605_prok	GCA_002267605.2_ASM226760v2_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.5	199	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Chile: Concepcion	Chile: Concepcion	UCL437	Tripticase soy broth	Arias et al. 2017
GCA_002267625_prok	GCA_002267625.1_ASM226762v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	122.03	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Pablo	Brazil: Sao Pablo	UB563	Tripticase soy broth	Arias et al. 2017
GCA_002267665_prok	GCA_002267665.1_ASM226766v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	147.55	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Porto Alegre	Brazil: Porto Alegre	UB605	Tripticase soy broth	Arias et al. 2017
GCA_002267685_prok	GCA_002267685.1_ASM226768v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	119.73	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Paulo	Brazil: Sao Paulo	UB512	Tripticase soy broth	Arias et al. 2017
GCA_002267695_prok	GCA_002267695.1_ASM226769v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	134.25	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Paulo	Brazil: Sao Paulo	UB572	Tripticase soy broth	Arias et al. 2017
GCA_002267765_prok	GCA_002267765.1_ASM226776v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	104.75	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Mexico: Guadalajara	Mexico: Guadalajara	UMX777	Tripticase soy broth	Arias et al. 2017
GCA_002267845_prok	GCA_002267845.1_ASM226784v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	93.56	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA939	Tripticase soy broth	Arias et al. 2017
GCA_002267865_prok	GCA_002267865.1_ASM226786v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.2	173.38	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG993	Tripticase soy broth	Arias et al. 2017
GCA_002268005_prok	GCA_002268005.1_ASM226800v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	148.46	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Mexico: Guadalajara	Mexico: Guadalajara	UMX753	Tripticase soy broth	Arias et al. 2017
GCA_002268065_prok	GCA_002268065.1_ASM226806v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	100.15	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Guatemala: Guatemala	Guatemala: Guatemala	UG834	Tripticase soy broth	Arias et al. 2017
GCA_002268085_prok	GCA_002268085.1_ASM226808v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.4	54.73	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA913	Tripticase soy broth	Arias et al. 2017
GCA_002268105_prok	GCA_002268105.1_ASM226810v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	66.9	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA923	Tripticase soy broth	Arias et al. 2017
GCA_002268125_prok	GCA_002268125.1_ASM226812v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.4	119.26	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA925	Tripticase soy broth	Arias et al. 2017
GCA_002268135_prok	GCA_002268135.1_ASM226813v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.2	116.29	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA935	Tripticase soy broth	Arias et al. 2017
GCA_002268145_prok	GCA_002268145.1_ASM226814v1_genomic	Illumina HiSeq	CLC Genomics Workbench v. 8.3	184.93	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA938	Tripticase soy broth	Arias et al. 2017
GCA_002887305_prok	GCA_002887305.1_ASM288730v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.2	69	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Brazil: Sao Paulo	Brazil: Sao Paulo	UB514	Tripticase soy broth	Arias et al. 2017
GCA_002887345_prok	GCA_002887345.1_ASM288734v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.2	51	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA770	Tripticase soy broth	Arias et al. 2017
GCA_002887395_prok	GCA_002887395.1_ASM288739v1_genomic	Illumina MiSeq	CLC Genomics Workbench v. 8.2	57	Contig	de-novo	Illumina	CLC	Earth	Human	blood 	Bacteremia ; MRSA 	Argentina: Buenos Aires	Argentina: Buenos Aires	UA845	Tripticase soy broth	Arias et al. 2017
GCA_003017305_prok	GCA_003017305.1_ASM301730v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	Human	Skin	Pre-flight (to International Space Station) Astronaut Skin Swab,  Sea Level	USA: Houston	USA: Houston	25390-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017355_prok	GCA_003017355.1_ASM301735v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	Human	Skin	Pre-flight (to International Space Station) Astronaut Skin Swab,  Sea Level	USA: Houston	USA: Houston	24959-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017395_prok	GCA_003017395.1_ASM301739v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface	Lab Site 1	ISS-Lab Site 1: Surface (03/20/2002)	Lab site 1 (03/20/2002)	0201753-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017415_prok	GCA_003017415.1_ASM301741v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface	U.S. Lab	ISS-U.S. Lab: Surface (02/06/2002)	U.S. Lab (02/06/2002)	0201183-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017425_prok	GCA_003017425.1_ASM301742v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	BE_Earth	Surface	Pre-flight (to International Space Station) hardware surface sample, sea level 	USA: Houston	USA: Houston	0200668-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017475_prok	GCA_003017475.1_ASM301747v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	BE_Earth	Surface	Pre-flight (to International Space Station) cargo bag surface sample	USA: Houston	USA: Houston	102220019-2	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017495_prok	GCA_003017495.1_ASM301749v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	Human	Skin	Pre-flight (to International Space Station) Astronaut Skin Swab	USA: Houston	USA: Houston	29397-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017515_prok	GCA_003017515.1_ASM301751v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	BE_Earth	Surface	Pre-flight (to International Space Station) hardware surface sample	USA: Houston	USA: Houston	150090019-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017535_prok	GCA_003017535.1_ASM301753v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Earth	Human	Skin	Pre-flight (to International Space Station) Astronaut Skin Swab	USA: Houston	USA: Houston	22265-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017575_prok	GCA_003017575.1_ASM301757v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-JEM PM: Surface (06/08/2008)	JEM PM (06/08/2008)	08168007-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017595_prok	GCA_003017595.1_ASM301759v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-Columbus module: Surface (08/12/2011)	Columbus module (08/12/2011)	112620037-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017635_prok	GCA_003017635.1_ASM301763v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-U.S. Lab: Surface (03/05/2010)	U.S. Lab (03/05/2010)	10110051-4	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017655_prok	GCA_003017655.1_ASM301765v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-Node 1: Surface (03/20/2002)	Node 1 (03/20/2002)	0201749-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017695_prok	GCA_003017695.1_ASM301769v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-Columbus module: Surface (08/12/2011)	Columbus module (08/12/2011)	112620037-2	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003017715_prok	GCA_003017715.1_ASM301771v1_genomic	PacBio	PacBio HGAP3 v. smrtanalysis_2.3.0.140936	200	Contig	de-novo	PacBio	PB_HGAP3	Space	BE_ISS	Surface		ISS-Node 2: Surface (03/09/2015)	Node 2 (03/09/2015)	15076009-1	Tripticase soy agar contact slides	Wallace and Voorhies, unpublished
GCA_003112635_prok	GCA_003112635.1_ASM311263v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	172	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 6	NA	Suzuki et al., unpublished
GCA_003113915_prok	GCA_003113915.1_ASM311391v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	175	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 6b	NA	Suzuki et al., unpublished
GCA_003113935_prok	GCA_003113935.1_ASM311393v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	188	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 28	NA	Suzuki et al., unpublished
