Gene	Non-unique Gene name	Annotation
group_3280		hypothetical protein
rsgA		Small ribosomal subunit biogenesis GTPase RsgA
group_3282		hypothetical protein
rbgA		Ribosome biogenesis GTPase A
rnhB		Ribonuclease HII
sucC		Succinate--CoA ligase [ADP-forming] subunit beta
rpsB		30S ribosomal protein S2
group_3287		hypothetical protein
korB		2-oxoglutarate oxidoreductase subunit KorB
group_3289		Putative multidrug export ATP-binding/permease protein
group_3290		hypothetical protein
pepS		Aminopeptidase PepS
ptpA		Low molecular weight protein-tyrosine-phosphatase PtpA
cobQ		Cobyric acid synthase
murF_1		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_3300		hypothetical protein
yxlF_3		putative ABC transporter ATP-binding protein YxlF
natA_1		ABC transporter ATP-binding protein NatA
groL		60 kDa chaperonin
group_3327		hypothetical protein
tsaE		tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ilvD		Dihydroxy-acid dehydratase
ilvC		Ketol-acid reductoisomerase (NADP( ))
ilvA		L-threonine dehydratase biosynthetic IlvA
gltC		HTH-type transcriptional regulator GltC
group_3333		hypothetical protein
group_3334		hypothetical protein
est_1		Carboxylesterase
group_3336		hypothetical protein
group_3337		hypothetical protein
xpt		Xanthine phosphoribosyltransferase
ahpF		Alkyl hydroperoxide reductase subunit F
group_3343		hypothetical protein
group_3344		hypothetical protein
spo0C		Chromosome-partitioning protein Spo0J
group_3346		hypothetical protein
luxA		Alkanal monooxygenase alpha chain
group_3349		Glycine cleavage system H-like protein
bglK		Beta-glucoside kinase
hrtA_1		Putative hemin import ATP-binding protein HrtA
hel		Lipoprotein E
group_3356		hypothetical protein
group_3357		hypothetical protein
yxlF_1		putative ABC transporter ATP-binding protein YxlF
group_3359		Penicillin acylase
norB_3		Quinolone resistance protein NorB
yydK		putative HTH-type transcriptional regulator YydK
tarJ		Ribulose-5-phosphate reductase 1
tarJ'		Ribulose-5-phosphate reductase 2
tarI'		Ribitol-5-phosphate cytidylyltransferase 2
gatD		Galactitol-1-phosphate 5-dehydrogenase
fruA_1		PTS system fructose-specific EIIABC component
group_3369		hypothetical protein
group_3370		hypothetical protein
scn_1		Staphylococcal complement inhibitor
group_3372		hypothetical protein
malG		Maltose transport system permease protein MalG
gsiC_1		Glutathione transport system permease protein GsiC
hsdR		Type-1 restriction enzyme R protein
murQ		N-acetylmuramic acid 6-phosphate etherase
ptsG_1		PTS system glucose-specific EIICBA component
ipdC		Indole-3-pyruvate decarboxylase
yagU		Inner membrane protein YagU
group_3384		hypothetical protein
ybaN		Inner membrane protein YbaN
isdI		Heme oxygenase (staphylobilin-producing) 2
mnaA_1		UDP-N-acetylglucosamine 2-epimerase
epsL		putative sugar transferase EpsL
wbjC		UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
adhE		Aldehyde-alcohol dehydrogenase
treR_1		HTH-type transcriptional regulator TreR
wbgU		UDP-N-acetylglucosamine 4-epimerase
butA		Diacetyl reductase [(S)-acetoin forming]
group_3400		hypothetical protein
hflX		GTPase HflX
group_3407		hypothetical protein
thrB_2		Homoserine kinase
rpmG2_2		50S ribosomal protein L33 2
mscL		Large-conductance mechanosensitive channel
mprF		Phosphatidylglycerol lysyltransferase
femA_2		Aminoacyltransferase FemA
group_3419		hypothetical protein
pstB3		Phosphate import ATP-binding protein PstB 3
asd		Aspartate-semialdehyde dehydrogenase
mhqA_2		Putative ring-cleaving dioxygenase MhqA
arlS		Signal transduction histidine-protein kinase ArlS
arlR		Response regulator ArlR
group_3428		DegV domain-containing protein
group_3432		hypothetical protein
asnS		Asparagine--tRNA ligase
dinG		putative ATP-dependent helicase DinG 
birA		Bifunctional ligase/repressor BirA
lapB		Lipopolysaccharide assembly protein B
group_3438		Ferredoxin
srrB		Sensor protein SrrB
scpA		Segregation and condensation protein A
group_3441		hypothetical protein
pdhC_2		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
group_3443		Farnesyl diphosphate synthase
aroK		Shikimate kinase
group_3445		hypothetical protein
epsF		Type II secretion system protein F
zur		Zinc-specific metallo-regulatory protein
cshB		DEAD-box ATP-dependent RNA helicase CshB
ccpN		Transcriptional repressor CcpN
recO		DNA repair protein RecO
group_3452		hypothetical protein
group_3453		hypothetical protein
hisS		Histidine--tRNA ligase
relA		GTP pyrophosphokinase
hemL1		Glutamate-1-semialdehyde 2,1-aminomutase 1
hemC		Porphobilinogen deaminase
group_3462		hypothetical protein
thrS		Threonine--tRNA ligase
phoR		Alkaline phosphatase synthesis sensor protein PhoR
nrnA		Bifunctional oligoribonuclease and PAP phosphatase NrnA
gloB		Hydroxyacylglutathione hydrolase
tpx		putative thiol peroxidase
thiI		putative tRNA sulfurtransferase
msrC		Free methionine-R-sulfoxide reductase
tyrS		Tyrosine--tRNA ligase
ccpA		Catabolite control protein A
pheT_2		Phenylalanine--tRNA ligase beta subunit
ytnP		putative quorum-quenching lactonase YtnP
murJ_2		Lipid II flippase MurJ
bioB_1		Biotin synthase
ytpA		Phospholipase YtpA
ywaC		GTP pyrophosphokinase YwaC
mhqR		HTH-type transcriptional regulator MhqR
group_3483		hypothetical protein
lipR		Putative acetyl-hydrolase LipR
group_3485		hypothetical protein
group_3486		Putative esterase
ssaA2_4		Staphylococcal secretory antigen ssaA2
mvaA		3-hydroxy-3-methylglutaryl-coenzyme A reductase
copZ		Copper chaperone CopZ
yhdG_2		putative amino acid permease YhdG
fda		Fructose-bisphosphate aldolase class 1
opcR		HTH-type transcriptional repressor OpcR
gtf1		Glycosyltransferase Gtf1
hisI		Phosphoribosyl-AMP cyclohydrolase
hisG		ATP phosphoribosyltransferase
group_3499		hypothetical protein
dnaA		Chromosomal replication initiator protein DnaA
serS		Serine--tRNA ligase
group_3502		hypothetical protein
walR		Transcriptional regulatory protein WalR
walK		Sensor protein kinase WalK
yycH		Two-component system WalR/WalK regulatory protein YycH
rlmH		Ribosomal RNA large subunit methyltransferase H
rplB		50S ribosomal protein L2
group_3510		hypothetical protein
glcU_2		putative glucose uptake protein GlcU
group_3512		hypothetical protein
mobA		putative molybdenum cofactor guanylyltransferase
cysA		Sulfate/thiosulfate import ATP-binding protein CysA
ssaA2_3		Staphylococcal secretory antigen ssaA2
group_3519		Putative 2-hydroxyacid dehydrogenase
group_3520		hypothetical protein
suhB_2		Inositol-1-monophosphatase
malP		PTS system maltose-specific EIICB component
hutG		Formimidoylglutamase
group_3524		hypothetical protein
natA_2		ABC transporter ATP-binding protein NatA
lcdH		L-carnitine dehydrogenase
group_3527		putative ABC transporter permease
hssR		Heme response regulator HssR
lctP_2		L-lactate permease
group_3532		hypothetical protein
gsiD_2		Glutathione transport system permease protein GsiD
ysdC_2		Putative aminopeptidase YsdC
fetB		putative iron export permease protein FetB
pbuE		Purine efflux pump PbuE
opuCB		Carnitine transport permease protein OpuCB
opuCD		Carnitine transport permease protein OpuCD
norB_5		Quinolone resistance protein NorB
group_3540		UDP-glucose 4-epimerase
bcr_2		Bicyclomycin resistance protein
hlgB		Gamma-hemolysin component B
tcyB		L-cystine transport system permease protein TcyB
nirC		Nitrite transporter NirC
narW		putative nitrate reductase molybdenum cofactor assembly chaperone NarW
narX		Nitrate reductase-like protein NarX
alr1_2		Alanine racemase 1
kdpB		Potassium-transporting ATPase ATP-binding subunit
kdpD		Sensor protein KdpD
ricR_2		Copper-sensing transcriptional repressor RicR
thiM		Hydroxyethylthiazole kinase
ssbA_3		Single-stranded DNA-binding protein A
upp		Uracil phosphoribosyltransferase
ptpB		Low molecular weight protein-tyrosine-phosphatase PtpB
murA2		UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
gmuF		putative mannose-6-phosphate isomerase GmuF
ywpJ_2		Phosphatase YwpJ
arg		Arginase
tadA_2		tRNA-specific adenosine deaminase
fusA		Elongation factor G
rpoC		DNA-directed RNA polymerase subunit beta'
rsmC		Ribosomal RNA small subunit methyltransferase C
gltX		Glutamate--tRNA ligase
clpC		ATP-dependent Clp protease ATP-binding subunit ClpC
group_3572		putative uridylyltransferase
group_3573		hypothetical protein
yfiZ_2		putative siderophore transport system permease protein YfiZ
group_3575		hypothetical protein
yabA		Initiation-control protein YabA
yfiC		tRNA1(Val) (adenine(37)-N6)-methyltransferase
queG		Epoxyqueuosine reductase
ribH		6,7-dimethyl-8-ribityllumazine synthase
group_3695		hypothetical protein
group_3708		hypothetical protein
group_3716		Putative 5'(3')-deoxyribonucleotidase
putB		Proline dehydrogenase 2
rspR		HTH-type transcriptional repressor RspR
rpsA_2		30S ribosomal protein S1
yueB		ESX secretion system protein YueB
czcD_2		Cadmium, cobalt and zinc/H( )-K( ) antiporter
ssaA2_1		Staphylococcal secretory antigen ssaA2
hssS		Heme sensor protein HssS
sbcC		Nuclease SbcCD subunit C
group_497		hypothetical protein
group_529		hypothetical protein
group_532		hypothetical protein
trpF		N-(5'-phosphoribosyl)anthranilate isomerase
cymR		HTH-type transcriptional regulator CymR
group_5870		hypothetical protein
rpsZ		30S ribosomal protein S14 type Z
group_5872		hypothetical protein
yugI_1		General stress protein 13
rpmC		50S ribosomal protein L29
tcaR		HTH-type transcriptional regulator TcaR
greA		Transcription elongation factor GreA
rpsU		30S ribosomal protein S21
group_5878		hypothetical protein
luxS		S-ribosylhomocysteine lyase
efp		Elongation factor P
gatB_1		PTS system galactitol-specific EIIB component
cspA_2		Cold shock protein CspA
glnR		HTH-type transcriptional regulator GlnR
group_5884		hypothetical protein
group_5885		hypothetical protein
rpmH		50S ribosomal protein L34
group_5887		hypothetical protein
atpC		ATP synthase epsilon chain
mnhC1		Na( )/H( ) antiporter subunit C1
rplQ		50S ribosomal protein L17
nfuA		Fe/S biogenesis protein NfuA
group_5892		hypothetical protein
pyrR		Bifunctional protein PyrR
rpmG2_1		50S ribosomal protein L33 2
tarD		Glycerol-3-phosphate cytidylyltransferase
secG		putative protein-export membrane protein SecG
rnc		Ribonuclease 3
ahpC		Alkyl hydroperoxide reductase subunit C
rpsE		30S ribosomal protein S5
group_590		hypothetical protein
prs		Ribose-phosphate pyrophosphokinase
group_5903		hypothetical protein
ftsZ		Cell division protein FtsZ
nusG		Transcription termination/antitermination protein NusG
rplT		50S ribosomal protein L20
group_5907		Antibacterial protein 3
rpsF		30S ribosomal protein S6
rplP		50S ribosomal protein L16
lrgB		Antiholin-like protein LrgB
rpmD		50S ribosomal protein L30
group_5914	argR_2	Arginine repressor
infA		Translation initiation factor IF-1
atpE		ATP synthase subunit c
clpP_1		ATP-dependent Clp protease proteolytic subunit
group_5918		hypothetical protein
group_5919		hypothetical protein
yjbM		GTP pyrophosphokinase YjbM
rplY		50S ribosomal protein L25
rpmB		50S ribosomal protein L28
rplM		50S ribosomal protein L13
rpsS		30S ribosomal protein S19
rpoZ		DNA-directed RNA polymerase subunit omega
group_5928		hypothetical protein
trxA_2		Thioredoxin
group_5930		hypothetical protein
mgrA		HTH-type transcriptional regulator MgrA
mazE		Antitoxin MazE
