	BE_Earth	BE_ISS	Cul_Earth	Cul_SC	Human	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	Cul_Earth_prop	Cul_SC_prop	fxn	p.val	p.adj.BH
Glutathione import ATP-binding protein GsiA	0	8	1	2	4	3	0	100	27.2727272727273	12.1212121212121	100	100	Glutathione import ATP-binding protein GsiA	1.67812963788058e-06	0.00026428561283947
Glutathione-binding protein GsiB	0	8	1	2	4	3	0	100	27.2727272727273	12.1212121212121	100	100	Glutathione-binding protein GsiB	1.67812963788058e-06	0.00026428561283947
Inositol 2-dehydrogenase	1	8	0	0	4	7	100	100	63.6363636363636	12.1212121212121	0	0	Inositol 2-dehydrogenase	1.8182704701718e-06	0.00026428561283947
Inosose dehydratase	1	8	0	0	4	7	100	100	63.6363636363636	12.1212121212121	0	0	Inosose dehydratase	1.8182704701718e-06	0.00026428561283947
Putative endo-beta-N-acetylglucosaminidase	1	0	1	2	31	9	100	0	81.8181818181818	93.9393939393939	100	100	Putative endo-beta-N-acetylglucosaminidase	1.7536365357213e-06	0.00026428561283947
putative HTH-type transcriptional regulator	1	0	0	0	29	9	100	0	81.8181818181818	87.8787878787879	0	0	putative HTH-type transcriptional regulator	1.07993692812613e-06	0.00026428561283947
putative response regulatory protein	0	8	1	2	4	3	0	100	27.2727272727273	12.1212121212121	100	100	putative response regulatory protein	1.67812963788058e-06	0.00026428561283947
RNA polymerase sigma factor SigV	0	8	0	0	2	1	0	100	9.09090909090909	6.06060606060606	0	0	RNA polymerase sigma factor SigV	1.06036948166192e-06	0.00026428561283947
Sensor histidine kinase YehU	0	8	1	2	4	3	0	100	27.2727272727273	12.1212121212121	100	100	Sensor histidine kinase YehU	1.67812963788058e-06	0.00026428561283947
Putative mycofactocin radical SAM maturase MftC	1	8	1	2	5	6	100	100	54.5454545454545	15.1515151515152	100	100	Putative mycofactocin radical SAM maturase MftC	3.36063072537378e-06	0.000444061523575527
RutC family protein	1	8	0	0	3	1	100	100	9.09090909090909	9.09090909090909	0	0	RutC family protein	3.21206539113598e-06	0.000444061523575527
3-oxo-glucose-6-phosphate:glutamate aminotransferase	1	8	0	0	3	2	100	100	18.1818181818182	9.09090909090909	0	0	3-oxo-glucose-6-phosphate:glutamate aminotransferase	5.85743658231041e-06	0.000607021978069488
5-deoxy-glucuronate isomerase	1	8	0	0	5	7	100	100	63.6363636363636	15.1515151515152	0	0	5-deoxy-glucuronate isomerase	5.8737641252331e-06	0.000607021978069488
6-deoxy-6-sulfogluconolactonase	1	0	1	2	30	8	100	0	72.7272727272727	90.9090909090909	100	100	6-deoxy-6-sulfogluconolactonase	6.47323058828831e-06	0.000607021978069488
Acetylxylan esterase	1	0	1	2	30	8	100	0	72.7272727272727	90.9090909090909	100	100	Acetylxylan esterase	6.47323058828827e-06	0.000607021978069488
Inner membrane protein YbjJ	1	8	0	0	5	7	100	100	63.6363636363636	15.1515151515152	0	0	Inner membrane protein YbjJ	5.87376412523303e-06	0.000607021978069488
Kanosamine-6-phosphate phosphatase	1	8	0	0	3	3	100	100	27.2727272727273	9.09090909090909	0	0	Kanosamine-6-phosphate phosphatase	6.47323058828828e-06	0.000607021978069488
Nitrogen fixation protein VnfA	1	8	0	0	3	3	100	100	27.2727272727273	9.09090909090909	0	0	Nitrogen fixation protein VnfA	6.47323058828828e-06	0.000607021978069488
putative crotonobetaine/carnitine-CoA ligase	1	8	0	0	3	3	100	100	27.2727272727273	9.09090909090909	0	0	putative crotonobetaine/carnitine-CoA ligase	6.47323058828828e-06	0.000607021978069488
Tyrosine-protein phosphatase YwqE	1	0	1	2	30	8	100	0	72.7272727272727	90.9090909090909	100	100	Tyrosine-protein phosphatase YwqE	6.47323058828828e-06	0.000607021978069488
Response regulator aspartate phosphatase I	1	0	0	0	27	9	100	0	81.8181818181818	81.8181818181818	0	0	Response regulator aspartate phosphatase I	7.18487702428722e-06	0.000652701172175092
DNA-invertase hin	1	0	1	2	23	11	100	0	100	69.6969696969697	100	100	DNA-invertase hin	7.60004428787772e-06	0.000669494810450319
L-2,4-diaminobutyrate decarboxylase	0	8	0	0	8	9	0	100	81.8181818181818	24.2424242424242	0	0	L-2,4-diaminobutyrate decarboxylase	8.5625358141758e-06	0.000691424766994696
Response regulator MprA	1	8	1	2	8	1	100	100	9.09090909090909	24.2424242424242	100	100	Response regulator MprA	8.39976079778325e-06	0.000691424766994696
Tyrocidine synthase 3	0	8	0	0	8	9	0	100	81.8181818181818	24.2424242424242	0	0	Tyrocidine synthase 3	8.5625358141758e-06	0.000691424766994696
tRNA(Glu)-specific nuclease WapA	1	0	0	0	27	5	100	0	45.4545454545455	81.8181818181818	0	0	tRNA(Glu)-specific nuclease WapA	1.07651020163789e-05	0.000845787880043603
Metallothiol transferase FosB 2	1	0	1	2	28	5	100	0	45.4545454545455	84.8484848484848	100	100	Metallothiol transferase FosB 2	1.45165877957293e-05	0.00110975647315909
putative sulfoacetate transporter SauU	0	8	1	2	7	2	0	100	18.1818181818182	21.2121212121212	100	100	putative sulfoacetate transporter SauU	1.52701269096538e-05	0.00110975647315909
Spore coat protein F	1	8	1	2	7	2	100	100	18.1818181818182	21.2121212121212	100	100	Spore coat protein F	1.52701269096537e-05	0.00110975647315909
Fe(3 )-citrate-binding protein YfmC	1	8	0	0	16	11	100	100	100	48.4848484848485	0	0	Fe(3 )-citrate-binding protein YfmC	2.64551430629301e-05	0.00187573416790092
Proline-specific permease ProY	1	8	1	2	7	3	100	100	27.2727272727273	21.2121212121212	100	100	Proline-specific permease ProY	2.954968443151e-05	0.0019522939236909
putative FAD-linked oxidoreductase YvdP	0	0	0	0	26	8	0	0	72.7272727272727	78.7878787878788	0	0	putative FAD-linked oxidoreductase YvdP	2.95496844315101e-05	0.0019522939236909
Putative ribonuclease YwqJ	1	8	1	2	7	3	100	100	27.2727272727273	21.2121212121212	100	100	Putative ribonuclease YwqJ	2.95496844315101e-05	0.0019522939236909
Spore germination protein A3	0	0	1	2	28	9	0	0	81.8181818181818	84.8484848484848	100	100	Spore germination protein A3	3.2356869002577e-05	0.00204481343892373
Tyrosine-protein kinase YwqD	1	0	1	2	28	9	100	0	81.8181818181818	84.8484848484848	100	100	Tyrosine-protein kinase YwqD	3.23568690025771e-05	0.00204481343892373
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	1	8	0	0	5	4	100	100	36.3636363636364	15.1515151515152	0	0	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	3.93815410969093e-05	0.00228964279937431
Diaminobutyrate--2-oxoglutarate transaminase	1	8	0	0	5	4	100	100	36.3636363636364	15.1515151515152	0	0	Diaminobutyrate--2-oxoglutarate transaminase	3.93815410969093e-05	0.00228964279937431
N-acyl homoserine lactonase	1	8	0	0	5	4	100	100	36.3636363636364	15.1515151515152	0	0	N-acyl homoserine lactonase	3.93815410969093e-05	0.00228964279937431
Spore coat protein X	1	0	1	2	27	5	100	0	45.4545454545455	81.8181818181818	100	100	Spore coat protein X	3.7197752663706e-05	0.00228964279937431
Glucose-6-phosphate 3-dehydrogenase	1	8	0	0	5	3	100	100	27.2727272727273	15.1515151515152	0	0	Glucose-6-phosphate 3-dehydrogenase	4.2515982401282e-05	0.0023768069392409
Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	0	8	0	0	5	3	0	100	27.2727272727273	15.1515151515152	0	0	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	4.2515982401282e-05	0.0023768069392409
Sporulation-specific N-acetylmuramoyl-L-alanine amidase	0	0	0	0	24	9	0	0	81.8181818181818	72.7272727272727	0	0	Sporulation-specific N-acetylmuramoyl-L-alanine amidase	5.20306498806241e-05	0.00285383206043348
AB hydrolase superfamily protein YdjP	0	8	0	0	6	2	0	100	18.1818181818182	18.1818181818182	0	0	AB hydrolase superfamily protein YdjP	6.04894251519524e-05	0.00310795617521744
Citrate carrier	1	8	1	2	8	3	100	100	27.2727272727273	24.2424242424242	100	100	Citrate carrier	6.09403171611263e-05	0.00310795617521744
ESX secretion system protein EccC	1	8	1	2	8	3	100	100	27.2727272727273	24.2424242424242	100	100	ESX secretion system protein EccC	6.09403171611258e-05	0.00310795617521744
HTH-type transcriptional regulator AdhR	0	0	0	0	25	8	0	0	72.7272727272727	75.7575757575758	0	0	HTH-type transcriptional regulator AdhR	6.09403171611263e-05	0.00310795617521744
O-acetyltransferase WecH	1	8	0	0	9	8	100	100	72.7272727272727	27.2727272727273	0	0	O-acetyltransferase WecH	7.1920910788494e-05	0.00360472564934745
Carbamoyltransferase HypF	1	8	0	0	6	4	100	100	36.3636363636364	18.1818181818182	0	0	Carbamoyltransferase HypF	8.63307682910923e-05	0.00388140648287022
ESAT-6-like protein	1	8	1	2	8	4	100	100	36.3636363636364	24.2424242424242	100	100	ESAT-6-like protein	8.79372212951542e-05	0.00388140648287022
Glucose/mannose transporter GlcP	1	8	0	0	6	4	100	100	36.3636363636364	18.1818181818182	0	0	Glucose/mannose transporter GlcP	8.63307682910926e-05	0.00388140648287022
Hydrogenase isoenzymes formation protein HypE	1	8	0	0	6	4	100	100	36.3636363636364	18.1818181818182	0	0	Hydrogenase isoenzymes formation protein HypE	8.63307682910923e-05	0.00388140648287022
Na( )/H( ) antiporter NhaH	1	8	1	2	8	4	100	100	36.3636363636364	24.2424242424242	100	100	Na( )/H( ) antiporter NhaH	8.79372212951542e-05	0.00388140648287022
Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	1	8	0	0	6	4	100	100	36.3636363636364	18.1818181818182	0	0	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	8.63307682910923e-05	0.00388140648287022
Sensor histidine kinase ComP	1	0	1	2	22	2	100	0	18.1818181818182	66.6666666666667	100	100	Sensor histidine kinase ComP	8.81227478051031e-05	0.00388140648287022
Small, acid-soluble spore protein A	0	0	0	0	17	10	0	0	90.9090909090909	51.5151515151515	0	0	Small, acid-soluble spore protein A	8.72491803103858e-05	0.00388140648287022
Antitoxin YobK	0	8	0	0	7	2	0	100	18.1818181818182	21.2121212121212	0	0	Antitoxin YobK	0.00010133103900158	0.00403519630654239
CDP-abequose synthase	0	0	1	2	26	9	0	0	81.8181818181818	78.7878787878788	100	100	CDP-abequose synthase	0.00010133103900158	0.00403519630654239
CDP-glucose 4,6-dehydratase	0	0	1	2	26	9	0	0	81.8181818181818	78.7878787878788	100	100	CDP-glucose 4,6-dehydratase	0.00010133103900158	0.00403519630654239
Inner membrane transport permease YhhJ	0	8	0	0	7	2	0	100	18.1818181818182	21.2121212121212	0	0	Inner membrane transport permease YhhJ	0.00010133103900158	0.00403519630654239
Large cysteine-rich periplasmic protein OmcB	0	8	0	0	7	2	0	100	18.1818181818182	21.2121212121212	0	0	Large cysteine-rich periplasmic protein OmcB	0.00010133103900158	0.00403519630654239
Ribosome-associated ATPase	0	8	0	0	7	2	0	100	18.1818181818182	21.2121212121212	0	0	Ribosome-associated ATPase	0.00010133103900158	0.00403519630654239
Transcriptional repressor MprA	0	0	1	2	4	7	0	0	63.6363636363636	12.1212121212121	100	100	Transcriptional repressor MprA	9.5901266863916e-05	0.00403519630654239
D-methionine transport system permease protein MetI	0	0	1	2	0	0	0	0	0	0	100	100	D-methionine transport system permease protein MetI	0.000111028249470554	0.00408555849634051
Flagellin	1	8	0	0	33	11	100	100	100	100	0	0	Flagellin	0.000111028249470554	0.00408555849634051
Methionine import ATP-binding protein MetN 2	0	0	1	2	0	0	0	0	0	0	100	100	Methionine import ATP-binding protein MetN 2	0.000111028249470554	0.00408555849634051
Putrescine export system permease protein SapC	0	0	1	2	0	0	0	0	0	0	100	100	Putrescine export system permease protein SapC	0.000111028249470554	0.00408555849634051
Restriction enzyme BgcI subunit alpha	0	0	1	2	0	0	0	0	0	0	100	100	Restriction enzyme BgcI subunit alpha	0.000111028249470554	0.00408555849634051
Restriction enzyme BgcI subunit beta	0	0	1	2	0	0	0	0	0	0	100	100	Restriction enzyme BgcI subunit beta	0.000111028249470554	0.00408555849634051
putative oxidoreductase YciK	0	0	0	0	24	8	0	0	72.7272727272727	72.7272727272727	0	0	putative oxidoreductase YciK	0.000115333958564779	0.00419094771934766
Transcriptional regulator YqjI	1	8	0	0	13	1	100	100	9.09090909090909	39.3939393939394	0	0	Transcriptional regulator YqjI	0.000122176025151198	0.00438476179153745
UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	0	0	0	0	0	6	0	0	54.5454545454545	0	0	0	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	0.00014212032898009	0.00503833897981856
Glucose-1-phosphate cytidylyltransferase	0	0	1	2	26	8	0	0	72.7272727272727	78.7878787878788	100	100	Glucose-1-phosphate cytidylyltransferase	0.000155819256571345	0.00526705324247561
Putative DNA repair helicase RadD	0	8	0	0	7	3	0	100	27.2727272727273	21.2121212121212	0	0	Putative DNA repair helicase RadD	0.000155819256571346	0.00526705324247561
Putative thiamine pyrophosphate-containing protein YdaP	0	0	1	2	26	8	0	0	72.7272727272727	78.7878787878788	100	100	Putative thiamine pyrophosphate-containing protein YdaP	0.000155819256571346	0.00526705324247561
Signal transduction histidine-protein kinase BaeS	0	0	1	2	26	8	0	0	72.7272727272727	78.7878787878788	100	100	Signal transduction histidine-protein kinase BaeS	0.000155819256571345	0.00526705324247561
Inner membrane protein YdjM	1	8	0	0	7	4	100	100	36.3636363636364	21.2121212121212	0	0	Inner membrane protein YdjM	0.000168497484242119	0.00563014007691769
Response regulator SaeR	0	8	1	2	10	3	0	100	27.2727272727273	30.3030303030303	100	100	Response regulator SaeR	0.000202559222231589	0.00669135976167305
Bifunctional autolysin	0	8	0	0	15	10	0	100	90.9090909090909	45.4545454545455	0	0	Bifunctional autolysin	0.000214220128186277	0.00691931014041676
Blasticidin-S deaminase	1	0	1	2	18	1	100	0	9.09090909090909	54.5454545454545	100	100	Blasticidin-S deaminase	0.000214220128186277	0.00691931014041676
N-acetylmuramoyl-L-alanine amidase LytC	0	0	1	2	25	8	0	0	72.7272727272727	75.7575757575758	100	100	N-acetylmuramoyl-L-alanine amidase LytC	0.000256753238734101	0.00794023047872377
putative N-acetyltransferase YafP	0	0	1	2	25	8	0	0	72.7272727272727	75.7575757575758	100	100	putative N-acetyltransferase YafP	0.0002567532387341	0.00794023047872377
Teichoic acid translocation permease protein TagG	0	8	0	0	8	3	0	100	27.2727272727273	24.2424242424242	0	0	Teichoic acid translocation permease protein TagG	0.000256753238734102	0.00794023047872377
Teichoic acids export ATP-binding protein TagH	0	8	0	0	8	3	0	100	27.2727272727273	24.2424242424242	0	0	Teichoic acids export ATP-binding protein TagH	0.000256753238734102	0.00794023047872377
Undecaprenyl-phosphate mannosyltransferase	0	0	1	2	22	3	0	0	27.2727272727273	66.6666666666667	100	100	Undecaprenyl-phosphate mannosyltransferase	0.000272713743886244	0.00834504056291905
RNA pyrophosphohydrolase	1	0	1	2	23	9	100	0	81.8181818181818	69.6969696969697	100	100	RNA pyrophosphohydrolase	0.000290765184495986	0.00880473324301909
Ribosomal-protein-serine acetyltransferase	1	7	0	0	3	2	100	87.5	18.1818181818182	9.09090909090909	0	0	Ribosomal-protein-serine acetyltransferase	0.000297015442227128	0.00890127722220889
Antitoxin HipB	1	8	0	0	9	6	100	100	54.5454545454545	27.2727272727273	0	0	Antitoxin HipB	0.000326094972636753	0.00967304168831675
L-amino acid N-acyltransferase MnaT	0	0	0	0	22	8	0	0	72.7272727272727	66.6666666666667	0	0	L-amino acid N-acyltransferase MnaT	0.000332954962589296	0.00970008907732413
Spore germination protein XA	0	0	1	2	23	4	0	0	36.3636363636364	69.6969696969697	100	100	Spore germination protein XA	0.000333680394816792	0.00970008907732413
Iron(3 )-hydroxamate import system permease protein FhuB	1	8	0	0	16	10	100	100	90.9090909090909	48.4848484848485	0	0	Iron(3 )-hydroxamate import system permease protein FhuB	0.000359036474606786	0.0102325395262934
Sensor protein CzcS	1	8	0	0	16	10	100	100	90.9090909090909	48.4848484848485	0	0	Sensor protein CzcS	0.000359036474606785	0.0102325395262934
putative hydrolase	0	8	1	2	10	6	0	100	54.5454545454545	30.3030303030303	100	100	putative hydrolase	0.000382706232974205	0.0108012331966603
NAD(P)H azoreductase	1	8	0	0	9	3	100	100	27.2727272727273	27.2727272727273	0	0	NAD(P)H azoreductase	0.000390737334332583	0.0109218599125463
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	1	8	1	2	15	2	100	100	18.1818181818182	45.4545454545455	100	100	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	0.000431291798421516	0.01194062150487
Extracellular metalloprotease	0	8	1	2	16	2	0	100	18.1818181818182	48.4848484848485	100	100	Extracellular metalloprotease	0.000514605659208295	0.013878456598448
Putative HTH-type transcriptional regulator	1	0	0	0	17	9	100	0	81.8181818181818	51.5151515151515	0	0	Putative HTH-type transcriptional regulator	0.000514605659208295	0.013878456598448
Spermidine/spermine N(1)-acetyltransferase	1	8	1	2	12	3	100	100	27.2727272727273	36.3636363636364	100	100	Spermidine/spermine N(1)-acetyltransferase	0.000515608294679181	0.013878456598448
Alpha-hemolysin	1	8	0	0	10	3	100	100	27.2727272727273	30.3030303030303	0	0	Alpha-hemolysin	0.000554865985082882	0.0146635947148722
Dihydroanticapsin 7-dehydrogenase	1	0	1	2	23	8	100	0	72.7272727272727	69.6969696969697	100	100	Dihydroanticapsin 7-dehydrogenase	0.00055486598508288	0.0146635947148722
Aerobactin synthase	1	8	0	0	23	11	100	100	100	69.6969696969697	0	0	Aerobactin synthase	0.000580507248122444	0.0148029348271223
Fimbrial subunit type 1	0	0	1	2	16	1	0	0	9.09090909090909	48.4848484848485	100	100	Fimbrial subunit type 1	0.00057658459362033	0.0148029348271223
Galactose-1-phosphate uridylyltransferase	0	0	1	2	10	0	0	0	0	30.3030303030303	100	100	Galactose-1-phosphate uridylyltransferase	0.000580507248122444	0.0148029348271223
N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase	1	8	0	0	23	11	100	100	100	69.6969696969697	0	0	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase	0.000580507248122444	0.0148029348271223
putative multidrug-efflux transporter	1	8	1	2	31	4	100	100	36.3636363636364	93.9393939393939	100	100	putative multidrug-efflux transporter	0.000623465373477883	0.0157601203539148
L-threonine 3-dehydrogenase	0	8	1	2	21	2	0	100	18.1818181818182	63.6363636363636	100	100	L-threonine 3-dehydrogenase	0.00064065106731189	0.0160549366609971
Acetyl esterase	1	0	0	0	20	2	100	0	18.1818181818182	60.6060606060606	0	0	Acetyl esterase	0.000671159747974305	0.0166757383535154
Cyclic di-GMP phosphodiesterase response regulator RpfG	1	8	1	2	13	3	100	100	27.2727272727273	39.3939393939394	100	100	Cyclic di-GMP phosphodiesterase response regulator RpfG	0.000756110797051514	0.0179329256899276
GDP-6-deoxy-D-mannose reductase	1	0	1	2	22	8	100	0	72.7272727272727	66.6666666666667	100	100	GDP-6-deoxy-D-mannose reductase	0.000740910957664002	0.0179329256899276
Haloalkane dehalogenase	1	8	0	0	11	3	100	100	27.2727272727273	33.3333333333333	0	0	Haloalkane dehalogenase	0.000740910957664002	0.0179329256899276
HTH-type transcriptional regulator BetI	0	0	0	0	22	6	0	0	54.5454545454545	66.6666666666667	0	0	HTH-type transcriptional regulator BetI	0.000764940758703484	0.0179329256899276
HTH-type transcriptional repressor ComR	0	0	0	0	22	6	0	0	54.5454545454545	66.6666666666667	0	0	HTH-type transcriptional repressor ComR	0.000764940758703484	0.0179329256899276
N-acetylmuramoyl-L-alanine amidase	0	0	0	0	20	8	0	0	72.7272727272727	60.6060606060606	0	0	N-acetylmuramoyl-L-alanine amidase	0.000756110797051518	0.0179329256899276
UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	1	0	1	2	22	8	100	0	72.7272727272727	66.6666666666667	100	100	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	0.000740910957664002	0.0179329256899276
Lysozyme M1	1	8	0	0	24	11	100	100	100	72.7272727272727	0	0	Lysozyme M1	0.000774364687167313	0.018008625164763
Antitoxin YxxD	1	8	0	0	12	3	100	100	27.2727272727273	36.3636363636364	0	0	Antitoxin YxxD	0.000935709469112075	0.0209239032823755
ECF RNA polymerase sigma factor SigH	1	8	0	0	21	3	100	100	27.2727272727273	63.6363636363636	0	0	ECF RNA polymerase sigma factor SigH	0.00093570946911208	0.0209239032823755
HTH-type transcriptional repressor NicS	1	8	0	0	12	3	100	100	27.2727272727273	36.3636363636364	0	0	HTH-type transcriptional repressor NicS	0.000935709469112075	0.0209239032823755
Response regulator aspartate phosphatase G	0	8	0	0	11	6	0	100	54.5454545454545	33.3333333333333	0	0	Response regulator aspartate phosphatase G	0.000931993238879946	0.0209239032823755
UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase	0	0	1	2	12	8	0	0	72.7272727272727	36.3636363636364	100	100	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase	0.000935709469112077	0.0209239032823755
3-oxoacyl-[acyl-carrier-protein] synthase 3	1	8	1	2	12	4	100	100	36.3636363636364	36.3636363636364	100	100	3-oxoacyl-[acyl-carrier-protein] synthase 3	0.000965074531083816	0.0214158142126767
Multicopper oxidase MmcO	1	8	0	0	25	11	100	100	100	75.7575757575758	0	0	Multicopper oxidase MmcO	0.000989767734190103	0.0216334947615837
putative transcriptional regulatory protein pdtaR	0	0	1	2	8	0	0	0	0	24.2424242424242	100	100	putative transcriptional regulatory protein pdtaR	0.0009897677341901	0.0216334947615837
Toxin A	0	0	0	0	0	5	0	0	45.4545454545455	0	0	0	Toxin A	0.00105326213766411	0.022849500255146
ABC transporter permease YtrF	1	0	1	2	4	5	100	0	45.4545454545455	12.1212121212121	100	100	ABC transporter permease YtrF	0.00114240159022901	0.0245997142429315
Anthranilate 3-monooxygenase oxygenase component	1	0	0	0	21	4	100	0	36.3636363636364	63.6363636363636	0	0	Anthranilate 3-monooxygenase oxygenase component	0.00117520982344362	0.0251201099761074
Inner membrane ABC transporter permease protein YcjP	0	0	1	2	7	0	0	0	0	21.2121212121212	100	100	Inner membrane ABC transporter permease protein YcjP	0.00120686129316998	0.0254227955017764
Tagatose 1,6-diphosphate aldolase 2	0	0	1	2	7	0	0	0	0	21.2121212121212	100	100	Tagatose 1,6-diphosphate aldolase 2	0.00120686129316998	0.0254227955017764
PE-PGRS family protein PE_PGRS18	0	8	0	0	19	3	0	100	27.2727272727273	57.5757575757576	0	0	PE-PGRS family protein PE_PGRS18	0.00128344803089181	0.026841607379874
2-hydroxymuconate semialdehyde hydrolase	1	8	0	0	19	10	100	100	90.9090909090909	57.5757575757576	0	0	2-hydroxymuconate semialdehyde hydrolase	0.00131660151093054	0.026953243607571
Transcriptional regulatory protein ComA	0	0	1	2	14	1	0	0	9.09090909090909	42.4242424242424	100	100	Transcriptional regulatory protein ComA	0.00131660151093054	0.026953243607571
Transcriptional regulatory protein CusR	1	8	0	0	16	9	100	100	81.8181818181818	48.4848484848485	0	0	Transcriptional regulatory protein CusR	0.00130090180160208	0.026953243607571
1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	0	0	1	2	5	0	0	0	0	15.1515151515152	100	100	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	0.00151068591295061	0.0272767947139592
Aminodeoxyfutalosine nucleosidase	0	0	1	2	4	0	0	0	0	12.1212121212121	100	100	Aminodeoxyfutalosine nucleosidase	0.00150893652428353	0.0272767947139592
Anti-sigma-I factor RsgI7	0	0	1	2	6	0	0	0	0	18.1818181818182	100	100	Anti-sigma-I factor RsgI7	0.00139440138222744	0.0272767947139592
Aspartate-proton symporter	0	0	1	2	5	0	0	0	0	15.1515151515152	100	100	Aspartate-proton symporter	0.00151068591295061	0.0272767947139592
Chemotaxis protein CheY 	0	0	1	2	3	0	0	0	0	9.09090909090909	100	100	Chemotaxis protein CheY 	0.00134954344821924	0.0272767947139592
Citrate/malate transporter	1	8	0	0	28	11	100	100	100	84.8484848484848	0	0	Citrate/malate transporter	0.00151068591295061	0.0272767947139592
Cysteine dioxygenase	0	0	0	0	20	3	0	0	27.2727272727273	60.6060606060606	0	0	Cysteine dioxygenase	0.00146113057811182	0.0272767947139592
D-inositol 3-phosphate glycosyltransferase	0	0	1	2	6	0	0	0	0	18.1818181818182	100	100	D-inositol 3-phosphate glycosyltransferase	0.00139440138222745	0.0272767947139592
Endo-alpha-N-acetylgalactosaminidase	0	0	1	2	5	0	0	0	0	15.1515151515152	100	100	Endo-alpha-N-acetylgalactosaminidase	0.00151068591295061	0.0272767947139592
Lactococcin-G-processing and transport ATP-binding protein LagD	1	8	0	0	12	4	100	100	36.3636363636364	36.3636363636364	0	0	Lactococcin-G-processing and transport ATP-binding protein LagD	0.00143117319375845	0.0272767947139592
Multiple sugar-binding protein	0	0	1	2	5	0	0	0	0	15.1515151515152	100	100	Multiple sugar-binding protein	0.00151068591295061	0.0272767947139592
N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	0	0	1	2	4	0	0	0	0	12.1212121212121	100	100	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	0.00150893652428353	0.0272767947139592
